question,answer
What payment methods do you accept?,We accept credit/debit cards.. PayPal.. and some local wallets depending on your region.
Is cash on delivery available?,Cash on delivery is available for selected locations and order values. You’ll see the option at checkout if it is supported in your area.
How can I change my shipping address?,You can change your shipping address from your account before the order is shipped. Once shipped.. the address cannot be modified.
How do I contact customer support?,You can contact customer support via email at support@example.com or through the help section in your account.
Do I need an account to place an order?,You can place orders as a guest.. but creating an account helps you track orders and manage returns more easily.
How can I track my order?,Once your order is shipped.. you’ll receive a tracking link by email and in your account under “My Orders”.
What happens if I miss the delivery?,If you miss the delivery.. the courier will usually attempt re-delivery or leave instructions to reschedule. If it returns to us.. we will contact you via email.
Can I change or cancel my order after placing it?,You can change or cancel your order before it is processed or shipped. Please contact support as soon as possible.
What is your return period?,You can return most items within 30 days of delivery.. as long as they are unused and in original packaging.
Are there any non-returnable items?,Yes.. some items like personal care products.. customized items.. and digital goods may be non-returnable. Details are shown on each product page.
Do you ship internationally?,Yes.. we ship to many countries worldwide. Shipping availability and cost depend on your location and will be shown at checkout.
How long does international shipping take?,International shipping usually takes between 7–21 business days depending on your country and shipping method.
Will I have to pay customs or import fees?,Some international orders may be subject to customs or import fees charged by your local authorities. These are not included in our prices.
How long does standard shipping take?,Standard shipping typically takes 5–7 business days after dispatch.
How do I request a refund?,To request a refund.. go to your order details page.. click “Request Refund”.. and follow the instructions. You can also contact support for help.
